Month,Zone Name,Region,Instance Name,Env,Instance Id,State,App Name,TechnicalOwner,Avg CPU (%),Total Hours,Tenancy,Avg Memory Used (%),Avg File System Used (%),Avg Network In (%),Avg Network Out (%),Product,Compute Cost (Month),API Name,Recommendation,Recommended Price,Savings
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP01,Production,i-074e1a6752f51500d,running,Other,Joy Muehlenbein,2.33,484,default,14.1,66.68,0.01,0.01,Windows,685.34,c5.4xlarge,Migrate to t3.large,80.84,952.8
Sep/20,us-west-2b,Oregon,AWPJDELG11,Production,i-0af3b3a5579190604,running,JDE Logic Server,Narender Reddy,2.75,713,default,12.99,36.16,0.02,0.01,Windows,1072.35,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2a,Oregon,AWOR-PDQLKNPR02,Production,i-013c92c02e5fb983a,running,Other,qlikview_support@edwards.com,7.59,714,default,21.43,82.02,0.03,0.08,Windows,1073.48,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2b,Oregon,AWTJDEAI04,Production,i-0b0ebc1f7017e2248,running,JDE AIS,Narender Reddy,1.9,652,default,18.08,23.24,0,0,Windows,980.61,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2a,Oregon,AWPJDELG02,Production,i-08647d4ad13d1f5f3,running,JDE Logic Server,Narender Reddy,12.11,714,default,15.88,62.83,0.59,0.18,Windows,1073.48,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2a,Oregon,AWPJDELG10,Production,i-03706f8aa018ff2fd,running,JDE Logic Server,Narender Reddy,4.01,714,default,19.44,39.05,0.09,0.02,Windows,1073.48,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2a,Oregon,AWTJDEBSS4,Test,i-03f38d022faf00924,running,Other,Narender Reddy,13.26,715,default,20.82,32.27,0,0,Windows,1074.6,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2a,Oregon,AWTJDEADF2,Test,i-0eab768a3f72498c2,running,JDE ADF Server,Narender Reddy,2.24,715,default,22.03,31.7,0,0,Windows,1074.6,m5.4xlarge,Migrate to r5.large,159.05,938.78
Sep/20,us-west-2b,Oregon,AWPJDELG03,Production,i-03d550dafcb56ab76,running,JDE Logic Server,Narender Reddy,7.6,715,default,16.41,66.26,0.14,0.02,Windows,1074.74,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2b,Oregon,AWPJDELG05,Production,i-0b72f3c603e85d63a,running,JDE Logic Server,Narender Reddy,4.38,715,default,16.9,58,0.02,0.01,Windows,1074.98,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2b,Oregon,AWPJDELG06,Production,i-04806635b6ec23568,running,JDE Logic Server,Narender Reddy,5.02,715,default,13.88,52.55,0.1,0.02,Windows,1074.98,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2b,Oregon,AWPJDELG16,Production,i-078925a9cf5296d57,running,JDE Logic Server,Narender Reddy,5.59,715,default,13.99,56.87,0.12,0.03,Windows,1074.98,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2a,Oregon,AWPJDELG01,Production,i-00ff9e20b18002c18,running,JDE Logic Server,Narender Reddy,2.85,715,default,12.59,57.39,0.01,0.01,Windows,1074.6,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2a,Oregon,AWPJDEAI01,Production,i-0ca33c8e95e0bd3e1,running,JDE AIS,Narender Reddy,1.83,715,default,27.55,24.82,0,0,Windows,1074.6,m5.4xlarge,Migrate to r5.large,159.05,938.37
Sep/20,us-west-2c,Oregon,AWOR-PDTABAPP03,Production,i-0defb63bf3eeb8e53,running,Tableau,Liz Nguyen2,2.75,714,dedicated,25.12,27,0.01,0,Windows,1107.41,m5.4xlarge,Migrate to r5.xlarge,329.05,803
Sep/20,us-west-2a,Oregon,AWOR-PDTABAPP01,Production,i-04710f3ce54c65589,running,Tableau,Liz Nguyen2,4.64,713,dedicated,49.41,34.4,0,0,Windows,1105.86,m5.4xlarge,Migrate to r5.xlarge,329.05,803
Sep/20,us-west-2b,Oregon,AWOR-PDTABAPP02,Production,i-08670e064599f71d0,running,Tableau,Liz Nguyen2,2.83,713,dedicated,39.52,27.24,0,0,Windows,1105.86,m5.4xlarge,Migrate to r5.xlarge,329.05,802.59
Sep/20,us-west-2b,Oregon,AWPJDEWL24,Production,i-0ad01e57adc8177e8,running,JDE Web Client Server,Narender Reddy,5.55,715,default,35.82,40.24,0.03,0.01,Windows,1074.98,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.68
Sep/20,us-west-2a,Oregon,AWTJDEAI05,Test,i-001e863a65d4a31b9,running,JDE AI Server,Narender Reddy,6.52,713,default,31.29,35.49,0,0,Windows,1071.97,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.68
Sep/20,us-west-2b,Oregon,AWPJDEWL26,Production,i-0b960d52bbc1a341d,running,JDE Web Client Server,Narender Reddy,3.12,715,default,32.47,36.79,0.03,0.01,Windows,1074.98,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.27
Sep/20,us-west-2a,Oregon,AWPJDEWL23,Production,i-0d826f9e35096f4c4,running,JDE Web Client Server,Narender Reddy,3.36,715,default,36.03,40.16,0.03,0.01,Windows,1074.6,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.27
Sep/20,us-west-2a,Oregon,AWPJDEWL25,Production,i-0d90cda09109f7e62,running,JDE Web Client Server,Narender Reddy,6.22,715,default,36.47,39.19,0.03,0.01,Windows,1074.6,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.27
Sep/20,us-west-2b,Oregon,AWPJDEWL20,Production,i-07d6f15170bf79339,running,JDE Web Client Server,Narender Reddy,6.58,713,default,34.39,36.34,0.02,0.01,Windows,1071.97,m5.4xlarge,Migrate to t2.2xlarge,316.06,781.27
Sep/20,us-west-2b,Oregon,AWPJDEWL22,Production,i-0d383292a3da94a5f,running,JDE Web Client Server,Narender Reddy,11.05,714,default,36.65,39.68,0.03,0.01,Windows,1073.48,m5.4xlarge,Migrate to r5.xlarge,318.11,779.23
Sep/20,us-west-2a,Oregon,AWPJDEWL21,Production,i-0f71ae483f2b66860,running,JDE Web Client Server,Narender Reddy,9.9,715,default,36.38,40.45,0.03,0.01,Windows,1074.6,m5.4xlarge,Migrate to r5.xlarge,318.11,779.23
Sep/20,us-west-2a,Oregon,AWPJDEWL27,Production,i-0388b8f2b737b79bf,running,JDE Web Client Server,Narender Reddy,10.97,715,default,31.62,36.15,0.02,0.01,Windows,1074.6,m5.4xlarge,Migrate to r5.xlarge,318.11,779.23
Sep/20,us-west-2a,Oregon,AWOR-PDQLKNPR03,Production,i-02a7a72f8491e230f,running,Other,Onebi_Support@edwards.com,13.49,714,default,16.46,50.05,0.01,0,Windows,1011.02,c5.4xlarge,Migrate to c5.xlarge,258.28,775.26
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP05,Production,i-0d166bb7515230eaf,stopped,LinkFixer Tool for File Share Migrations  to SharePoint,Joy Muehlenbein,1.25,187,default,N/A,N/A,0,0,Windows,264.79,c5.4xlarge,Migrate to t2.2xlarge,316.06,717.44
Sep/20,us-west-2a,Oregon,AwOr-SsDlTbl11,Test,i-002cb8d5c8981987f,stopping,DataLakes.Tableau,Pablo Vivanco,3.56,376,default,34.66,32.8,0,0,Windows,481.94,m5d.4xlarge,Migrate to i3.xlarge,361.88,580.19
Sep/20,us-west-2b,Oregon,AWOR-PDJDETRX01,Production,i-09eb9c2b42586230b,running,TRAX V17,Bob Lynch,3.65,654,default,N/A,N/A,0,0,Windows,983.24,m5.4xlarge,Migrate to r5.2xlarge,636.21,461.36
Sep/20,us-west-2b,Oregon,AWOR-OQQLKNPR01,QA,i-08fadcd27ae185437,running,Qlik NPrinting,OneBI_Support@edwards.com,7.14,714,default,22.2,47.69,0,0,Windows,1073.48,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2a,Oregon,IRVHFMWEB03,Production,i-0def699c1fd7dc014,running,HFM,Antoinette Hunter,12.61,715,default,41.15,53.27,0.01,0.01,Windows,1074.6,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2a,Oregon,AWPJDELG07,Production,i-03aaf2a8e9557c185,running,JDE Logic Server,Narender Reddy,4.48,714,default,15.04,33,0.02,0.01,Windows,1073.48,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2a,Oregon,AWPJDELG08,Production,i-0557fba7c56fdbd7d,running,JDE Logic Server,Narender Reddy,3.85,714,default,13.33,34.95,0.04,0.01,Windows,1073.48,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2a,Oregon,AWPJDELG12,Production,i-0577f2ca79db97202,running,JDE Logic Server,Narender Reddy,4.83,713,default,17.95,33.32,0.03,0.01,Windows,1071.97,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2a,Oregon,AWTJDELG09,Test,i-0cfa48841a828ecc8,running,JDE Logic Server,Narender Reddy,26.38,715,default,19.41,62.05,0.09,0.02,Windows,1074.6,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.95
Sep/20,us-west-2b,Oregon,AWPJDEAI02,Production,i-0e1f6f51d9fed1b3f,running,JDE ADF Server,Narender Reddy,1.28,332,default,N/A,N/A,0,0,Windows,498.95,m5.4xlarge,Migrate to r5.2xlarge,636.21,460.39
Sep/20,us-west-2b,Oregon,AWPJDEAI06,Production,i-0dbc470027d030516,running,JDE AIS,Narender Reddy,1.79,213,default,N/A,N/A,0,0,Windows,319.97,m5.4xlarge,Migrate to r5.2xlarge,636.21,459.68
Sep/20,us-west-2b,Oregon,USIR-PDVMWVCR01,,i-0f519ddebde955dd5,running,Other,Steven Nyugen,6.03,713,default,35.54,76.88,0,0,Windows,536.18,m5.2xlarge,Migrate to r5.large,159.05,389.82
Sep/20,us-west-2a,Oregon,AWOR-DVTABAPP03,Development,i-07037d9e234270ad5,running,Tableau,Liz Nguyen2,5.7,715,default,47.53,24.36,0,0,Windows,537.49,m5.2xlarge,Migrate to r5.large,159.05,389.61
Sep/20,us-west-2a,Oregon,AWOR-DVDRGAPP05,Development,i-0373b05dc374725b6,running,Other,Andrew Kaszpurenko,0.01,715,default,0.48,N/A,0,0,Linux/UNIX,376.09,r5.4xlarge,Migrate to t4g.micro,6.13,377.85
Sep/20,eu-central-1b,Frankfurt,NYOAESSRV01,Production,i-0c8d4f321aad06b73,running,Other,Jonathan Hazzard,4.89,713,default,N/A,N/A,0,0.01,Windows,539.03,c5.2xlarge,Migrate to r5.large,178.02,373.76
Sep/20,us-west-2a,Oregon,AWPJDEAI02-delete Sept 30,Production,i-0bc81afdfad889219,stopped,JDE ADF Server,Narender Reddy,1.9,385,default,N/A,N/A,0,0,Windows,526.05,m5.4xlarge,Migrate to r5.2xlarge,636.21,360.88
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP18,Production,i-09a9a581ca8dcc0d8,running,File Server Migration Tool,Victor Fernandez,3.14,482,default,17.21,49.39,0,0,Windows,341.26,c5.2xlarge,Migrate to r5.large,159.05,357.7
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP02,Production,i-04cbcefc911611fed,running,File server Migration tool ,Joy Muehlenbein,3.51,484,default,20.98,67.57,0.01,0,Windows,342.67,c5.2xlarge,Migrate to r5.large,159.05,357.7
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP15,Production,i-0e10de0706f71638f,running,Other,,3.59,635,default,15.02,15.21,0.02,0.02,Windows,449.58,c5.2xlarge,Migrate to r5.large,159.05,357.48
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP06,Production,i-0b6b5af9d67387f56,running,LinkFixer Tool for File Share Migrations  to SharePoint,Joy Muehlenbein,2.92,512,default,15.23,14.92,0,0,Windows,362.5,c5.2xlarge,Migrate to r5.large,159.05,357.42
Sep/20,us-west-2b,Oregon,AWOR-PDFSMAPP03,Production,i-04a4a7d763ed32c60,running,File server Migration tool ,Joy Muehlenbein,4.34,484,default,18.57,65.97,0.01,0,Windows,342.67,c5.2xlarge,Migrate to r5.large,159.05,357.41
Sep/20,us-west-2b,Oregon,AWOR-PDFSMAPP04,Production,i-0d6206e33e928fa06,running,File server Migration tool ,Joy Muehlenbein,3.25,479,default,15.14,36.7,0,0,Windows,339.13,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP08,Production,i-0d9a9ed1304535f3e,running,LinkFixer Tool for File Share Migrations  to SharePoint,Joy Muehlenbein,3.2,480,default,14.33,4.81,0,0,Windows,339.84,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP07,Production,i-0ebab42db7a3d8be2,running,LinkFixer Tool for File Share Migrations  to SharePoint,Joy Muehlenbein,3.51,480,default,18.28,27.23,0,0,Windows,339.84,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP20,Production,i-0a6a362a522f6737c,running,File Server Migration Tool,Victor Fernandez,3.14,480,default,13.67,48.63,0,0,Windows,339.84,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP09,Production,i-0848e967487e689cf,running,SPMT (SharePoint Migration tool),Joy Muehlenbein,3.44,480,default,N/A,N/A,0,0,Windows,339.84,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP16,Production,i-021e15f27fee7db2f,running,File Server Migration Tool,Victor Fernandez,3.09,470,default,12.91,50.98,0,0,Windows,332.76,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP17,Production,i-0c8ab444f6c4e33c8,running,File Server Migration Tool,Victor Fernandez,2.98,470,default,12.88,50.36,0,0,Windows,332.76,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP19,Production,i-016ae9baaecac4bbf,running,File Server Migration Tool,Victor Fernandez,3.06,470,default,13.16,51.17,0,0,Windows,332.76,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2b,Oregon,AWOR-PDFSMAPP21,Production,i-027e2f0bfdd9b8656,running,File Server Migration Tool,Victor Fernandez,2.85,469,default,13.43,54.82,0,0,Windows,332.05,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP10,Production,i-0786e16dfd7a74160,running,SPMT (SharePoint Migration tool),Joy Muehlenbein,2.69,470,default,14.23,11.44,0,0,Windows,332.76,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDFSMAPP14,Production,i-0a1f2389e3e33cc12,running,SPMT (SharePoint Migration tool),Joy Muehlenbein,2.88,470,default,14.97,10.64,0,0,Windows,332.76,c5.2xlarge,Migrate to r5.large,159.05,357.4
Sep/20,us-west-2a,Oregon,AWOR-PDCOLAPP01,Production,i-0b39dc011a50144f3,running,Collibra,Vinay Poola,0.02,714,default,3.22,N/A,0,0,Red Hat Enterprise Linux,370.57,m5.4xlarge,Terminate instance,No Data,346.18
Sep/20,us-west-2b,Oregon,AWOR-DVCOLAPP01,Development,i-044ca841486c20f56,running,Collibra,Vinay Poola,0,713,default,5.2,N/A,0,0,Red Hat Enterprise Linux,370.05,m5.4xlarge,Migrate to t4g.medium,68.29,310.54
Sep/20,ap-northeast-1a,Tokyo,AWJP-PDSCCMSS01,Production,i-0d29f313e94664067,running,SCCM,Mike Pettway,6.58,713,default,N/A,N/A,0.06,0.17,Windows,630.07,m4.2xlarge,Migrate to r5.xlarge,356.04,289.08
Sep/20,us-west-2a,Oregon,AWORDVPLMAPP08,Development,i-956193ca,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,7.99,717,default,N/A,N/A,0.02,0.01,Windows,897.19,m4.4xlarge,Migrate to r5.2xlarge,636.21,283.22
Sep/20,us-east-1a,5.55748E+11,AWVA-PDSQLDB01,Production,i-0b56aee6e21150898,running,Database,Haihao Li,7.3,712,default,N/A,N/A,0.29,1.44,Windows,890.72,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2a,Oregon,AWORPDPLMAPP02,Production,i-41732c59,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,5.56,714,default,N/A,N/A,0.21,0.15,Windows,892.99,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2a,Oregon,AWORPDPLMAPP03,Production,i-44732c5c,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,5.83,714,default,N/A,N/A,0.36,0.18,Windows,892.99,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2a,Oregon,AWORPDPLMAPP04,Production,i-45732c5d,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,9.44,714,default,N/A,N/A,0.07,0.1,Windows,892.99,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2a,Oregon,IRVLABAPP02,Production,i-024fdefdda6363545,running,Other,,6.91,714,default,N/A,N/A,0.02,0.03,Windows,892.99,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2b,Oregon,AWOR-PDQLKSNS02,Production,i-0a6a14fe04cd91b14,running,Qlik Sense,qlikview_support@edwards.com,9.6,713,default,N/A,N/A,2.17,1.63,Windows,891.86,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.61
Sep/20,us-west-2b,Oregon,AWOR-PDSLWAPP01,Production,i-0c9e61cadde3ed54a,running,Other,Tanisha Barnet,27.51,715,default,N/A,N/A,2.48,0.42,Windows,894.12,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.47
Sep/20,us-west-2b,Oregon,AWORPDPLMAPP01,Production,i-0c42e183c79d7f65c,running,PLM|Teamcenter|Ignite,"Vivek Ratnaswamy, Rajesh Pudota",8.53,715,default,N/A,N/A,0.79,0.56,Windows,894.12,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.47
Sep/20,us-west-2b,Oregon,IRVLABSCH02,Production,i-05a390292c9c97f5c,running,LIMS,Olga Goren,3.48,715,default,N/A,N/A,0.01,0.01,Windows,894.12,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.47
Sep/20,us-west-2b,Oregon,IRVLABAPP01,,i-0ae3f63791af9e181,running,Other,,6.74,715,default,N/A,N/A,0.02,0.03,Windows,894.12,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.47
Sep/20,us-west-2a,Oregon,AWORPDPLMFIL01,Production,i-c99b88d1,running,PLM|Teamcenter|Ignite,Vivek Ratnaswamy | Rajesh Pudota,2.22,715,default,N/A,N/A,0.17,2.34,Windows,894.12,m4.4xlarge,Migrate to r5.2xlarge,636.21,282.47
Sep/20,eu-central-1a,Frankfurt,AWFR-PDSCCMSS01,Production,i-036f0828ca545eac0,running,SCCM,Mike Pettway,5.22,713,default,N/A,N/A,0.06,0.29,Windows,604.62,m4.2xlarge,Migrate to r5.xlarge,356.04,262.8
Sep/20,us-west-2b,Oregon,IRVHFMSQL01,Production,i-0aed74e6e655c2440,running,HFM,Haihao Li | Karthick K,4.45,714,dedicated,N/A,N/A,0.01,0.06,Windows,553.35,m5.2xlarge,Migrate to r5.xlarge,329.05,236.52
Sep/20,us-west-2a,Oregon,AWOR-PDEXCEDG01,Production,i-0e6089eb74e55a33c,running,Exchange,Manoj Kumar/Sylvia,4.99,714,default,N/A,N/A,0,0,Windows,536.93,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2b,Oregon,AWOR-PDVAIAPP02,Production,i-08fd374d038e50b56,running,Vaisala,Ryo Miyaki,10.4,712,default,N/A,N/A,0,0,Windows,535.42,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2a,Oregon,AWOR-PDSCCMIMP1,Production,i-01444ab3e9c3698fa,running,SCCM,Mike Pettway,4.03,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2b,Oregon,IRVITRSPT06,Production,i-0fc5a22b7510fe9fb,running,Other,Joy Muehlenbein,9.55,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2a,Oregon,AWOR-PDNETBAPP1,Production,i-0e40f7eecb373fb52,running,Other,Jozef Juricek,13.83,714,default,N/A,N/A,0.02,0.01,Windows,536.93,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2a,Oregon,AWOR-PDDGOAPP01,Production,i-07c3263f414203f27,running,Other,Julio Ramirez,8.37,714,default,N/A,N/A,0,0,Windows,536.74,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.72
Sep/20,us-west-2b,Oregon,AWOR-PDEXCEDG02,Production,i-082a33b318c64ab43,running,Exchange,Manoj Kumar/Sylvia,4.95,716,default,N/A,N/A,0,0,Windows,538.24,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-east-1a,Oregon,IRVHFMWEB03,,i-09842f2e1102975fe,running,Other,,2.35,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDCWMAPP01,Production,i-0173f6cd455a14bcb,running,CaseWare Monitor,Abel Casanova,4.39,715,default,N/A,N/A,0.01,0.01,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-DVTABAPP01,Development,i-049f50d06a2789dd9,running,Tableau,Liz Nguyen2,7.23,715,default,73.79,25.05,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-east-1a,5.55748E+11,HAISQL01,Production,i-0151f0c06721c62f5,running,SQL,Luis Romero,3.6,713,default,N/A,N/A,0,0.13,Windows,536.18,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-DVTABAPP02,Development,i-093f9c127d3d4ac36,running,Tableau,Liz Nguyen2,7.65,714,default,70.13,18.21,0,0,Windows,536.74,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDCVDAPP03,Production,i-067be1b5e4ecb42b0,running,Provantis,Long Tran,11.98,715,default,N/A,N/A,0,0,Windows,537.3,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDCVDAPP04,Production,i-0ad598837d7e370bc,running,Provantis,Long Tran,12.27,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDJDAAPP01,Production,i-014f66736c1802e9b,running,JDA,Vijay Jaikumar,4.23,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDCCURBD01,Production,i-032a7c452648bc5d4,running,Other,Jose Zuniga,3.62,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWPJDEDP01,Production,i-eea2127a,running,JDE,Narender Reddy,6.23,713,default,N/A,N/A,0,0.01,Windows,535.99,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,AWOR-PDPOLAPP01,Production,i-0937fa4dd69c42421,running,Exchange,Manoj Kumar,7.28,715,default,N/A,N/A,0,0,Windows,537.49,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.52
Sep/20,us-west-2a,Oregon,IRVLBLSDL01-DV,Development,i-0e773d0fbba917e97,running,SDL Knowledge Center,Trevor Britton,3.84,564,default,N/A,N/A,0,0,Windows,423.94,m5.2xlarge,Migrate to t2.2xlarge,316.06,232.46
